run_name,date_heure,dataset,epochs_demandes,epochs_effectifs,reduce_dataset_to,arch,selection_metric,dropout,weight_decay,val_acc_finale,val_f1_macro_finale,n_train,n_val,n_classes
etage2_binaire_split_epoch25_frac15_20260903_204002,2026-09-03 20:52:04,etage2_binaire_split,25,9,15.0,resnet18,val_f1_macro,0.3,0.0001,0.9893,0.9889,1871,467,2
etage2_binaire_split_epoch25_frac50_20260903_210402,2026-09-03 22:05:56,etage2_binaire_split,25,20,50.0,resnet18,val_f1_macro,0.3,0.0001,0.9968,0.9967,6236,1559,2
