image,tuber_id,bbox.width,bbox.height,perim,convex.perim,area,chull.area,roundness,compactness,max.length,skinning,redness,lightness
12.jpg,1,3.5527136788005e-15,18.6010752377383,2,37.2021504754766,3134,0,0,9845.75137635041,18.6010752377383,NA,NA,NA
13.jpg,1,44,55,78,174.957034249542,2981,1751.5,0.719046851895891,6.15719112449124,69.8140387028282,NA,NA,NA
14.jpg,1,32.5269119345812,66.4680374315354,105,165.708097324414,2496,1586.5,0.726043227993552,2.84495791867941,66.8430998682736,NA,NA,NA
15.jpg,1,48.7903679018718,51.618795026618,186,160.682687760871,1890,2030,0.988024529093143,0.686508280180912,52.924474489597,NA,NA,NA
16.jpg,1,46,55,152,170.44722611699,2094,2193.5,0.948784600316484,1.13893611783536,59.4810894318522,NA,NA,NA
17.jpg,1,11.6305137445394,55.3229974257871,55,128.166129739021,2976,602.5,0.460914504583917,12.3628161812671,55.3263047744922,NA,NA,NA
19.jpg,1,48,50,157,161.414827587522,1904,2011,0.969918139189169,0.970683177805991,53.6003731330296,NA,NA,NA
20.jpg,1,37.4874144337654,50.0975101426844,158,147.506521652879,1236,1504,0.868630863264827,0.622177298483734,54.6717477313466,NA,NA,NA
21.jpg,1,49,52,188,160.32699829522,1868,2022.5,0.988746754762284,0.664157432877516,53.160135440008,NA,NA,NA
23.jpg,1,52.0384473250308,52.3074791797392,211,173.121567672181,1841,2188.5,0.917601389905907,0.519635414771349,61.0737259384099,NA,NA,NA
24.jpg,1,24.7374680828513,54.4518135602479,71,155.619741331917,2616,1302.5,0.675862293572953,6.52125084847522,58.8727441181401,NA,NA,NA
26.jpg,1,50.2045814642449,50.2045814642449,188,161.309115666301,1902,2044.5,0.987368251040857,0.676245951463081,54.1294744108974,NA,NA,NA
3.jpg,1,43.1335136523794,43.840620433566,162,139.679646674188,1415,1533.5,0.987705310374113,0.677542082735796,46.5725240887801,NA,NA,NA
30.jpg,1,20.5322597543766,55.9207939944921,95,125.389725174379,2642,756,0.604237616434398,3.67870927015368,56.0892146495206,NA,NA,NA
31.jpg,1,47,53,185,161.533191260882,1898,2039,0.981982037215702,0.696887404705733,55.0090901579003,NA,NA,NA
33.jpg,1,24,55,90,147.643537590283,1236,1267,0.730394667662388,1.91753507152444,57.8705451849211,NA,NA,NA
34.jpg,1,38.8908729652601,39.5979797464467,149,127.921597955969,1173,1282,0.984487344117939,0.663949945076497,42.7551166528639,NA,NA,NA
36.jpg,1,6.13922217708735,24.7588368062799,48,53.7033724859686,2868,103,0.448790824914256,15.6425134209992,24.7588368062799,NA,NA,NA
37.jpg,1,41.7193000900063,43.1335136523794,160,138.01192193816,1374,1493,0.985000529688428,0.674460672817559,45.3982378512647,NA,NA,NA
38.jpg,1,44,55,107,170.237198688124,2945,1636,0.709388648901771,3.23241867929843,67.4759216313494,NA,NA,NA
40.jpg,1,40,53,172,151.483202536824,1616,1745.5,0.955874246977361,0.686426950811399,54.1294744108974,NA,NA,NA
42.jpg,1,50.9116882454314,52.3259018078045,186,165.536617824075,2004,2144,0.983210459075454,0.727916716128332,55.3624421426656,NA,NA,NA
44.jpg,1,48.0832611206852,49.4974746830583,180,156.04406215982,1786,1919.5,0.990611774358446,0.692701787569305,50.4479930225178,NA,NA,NA
45.jpg,1,0,47,4,94,3132,0,0,2459.86704776081,47,NA,NA,NA
46.jpg,1,127,147,506,459.225961602368,13268,14942,0.890360186235972,0.651199852018144,163.685674388445,NA,NA,NA
47.jpg,1,38,41,144,128.448140331255,1074,1212,0.923117197706835,0.650862366889552,44.7772263544762,NA,NA,NA
48.jpg,1,35.9500811111571,98.8364821205645,83,227.991382807422,15219,2408.5,0.582263610943047,27.7612998083804,99.7296345125159,NA,NA,NA
5.jpg,1,55,55,122,183.36677671713,2737,2241,0.837549374839635,2.31081405344672,66.8430998682736,NA,NA,NA
51.jpg,1,0,1,2,2,3582,0,0,11253.1848851586,1,NA,NA,NA
57.jpeg,1,45,56,207,180.144539276563,2059,2325,0.900306980569549,0.60384506277779,66.8505796534331,NA,NA,NA
6.jpg,1,40.3050865276332,52.3259018078045,177,149.909404176846,1562,1700.5,0.950886636999964,0.626533591867887,53.3385414123783,NA,NA,NA
7.jpg,1,41,51,154,151.929324697582,1536,1650.5,0.898549853560709,0.81387861627828,57.4543296888929,NA,NA,NA
8.jpg,1,54,55,181,192.817489593405,2256,2609.5,0.882011640347845,0.865350023076044,66.8505796534331,NA,NA,NA
